activitat_,nom_abocam,Punt2
ENS D'ABSTAMENT D'AIGUA TER LLOBREGAT (PLANTA TRACTAMENT DE CARDEDEU),RIU MOGENT- ETAP DEL TER (CARDEDEU),40
"AREAS, SA - E.S. VALLES (DIRECCIO GIRONA)",ESTACIÓ DE SERVEI VALLÈS (ÀREAS DIRECCIO GIRONA). RIERA DE POLINYÀ,19
AJUNTAMENT DE SANT CUGAT DEL VALLES,AJUNTAMENT DE SANT CUGAT DEL VALLES (LLERA),64
"CERCLE SABADELLÈS 1856, SCP",CERCLE SABADELLÈS (sortida EDAR) riu Sec,5
CONSORCI PER A LA CONSTR. EQUIP I EXPLO. DE LAB.,CONSORCI PER A LA CONSTR. EQUIP I EXPLO. DE LAB. (llera),9
"BOSCH SISTEMAS DE FRENADO, SLU","ABOC.BOSCH SISTEMAS DE FRENADO, SLU: 021999005112",28
FLOR DE MAIG (CENTRE FORMACIÓ I TREBALL),TORRENT CAN COLL (ORGANISME FLOR DE MAIG - DIPUTACIÓ DE BARCELONA),10
"ROQUET BAUCELLS, JORDI",JORDI ROQUET BAUCELLS (sortida depuradora) - Rasa del Pla,36
"GESTIONES E INVERSIONES COSMOLAND, SL",CHATEAUFORM ESPAÑA  (ABOC. A LLERA) AA2019000475,5
CASA DE COLÒNIES MOGENT (FUNDACIÓ CHAMPAGNAT),RIU MOGENT (CASA DE COLÒNIES MOGENT),46
"DESGUACE LA ROCA, SL","DESGUACES LA ROCA, SANITÀRIES",11
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),AAVV SOL I AIRE (SORTIDA TRACTAMENT PASSATGE FONT RICA 14),53
AGRICOLA I RAMADERA DEL VALLES,"AGRICOLA I RAMADERA DEL VALLES, SL (sortida al torrent)",18
"ENVASES DEL VALLES, SA","Abocament - ENVASES DEL VALLES,SA- clavegueram i riu Mogent",44
"RAMOS TRENZADO, ALBERT (MASIA FONT DEL TORT)","RAMOS TRENZADO, ALBERT ( RESTAURANT MASIA FONT DEL TORT): TORRENT DE VALL-LLOSEERA",17
"CERÁMICA SUGRAÑES, SA (ROSA GRES)","ABOCAMENT CERAMICA SUGRAÑES, SA: 021998000223",6
"ASEA BROWN BOVERI, SA","Abocament ABB AUTOMATION PRODUCTS, SA (021996000236)",4
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SORTIDA 12, PK 124,8 (SORTIDA DEPURADORA)",41
"CENTRE DE RECERCA I VALORACIÓ AVANÇADA DE BARBERÀ, SL","Abocament ACABATS BARBERA, SL - riu Ripoll",55
"DEP.TREBALL, AFERS SOCIALS I FAMÍLIES (RESIDÈNCIA DE GENT GRAN DE TERRASSA)",021999005068 - AB 1,2
"CARERAC, SL",CARERAC SL (SORTIDA DEPURADORA),23
DEPARTAMENT DE BENESTAR I FAMILIA - CENTRE EDUCATIU ELS CASTANYERS,DEPT. BENESTAR I FAMILIA - C. E. ELS CASTANYERS ( SORTIDA DEPURADORA) - llera innominada,24
"TECNOLOGIAS DEL MEDIO AMBIENTE, SA",MANIPULADOS FORESTALES SA (TORRENT DIVUIT),46
"ÀRIDS CATALUNYA, SA","ÀRIDS CATALUNYA, SA (SORTIDA DEPURADORA)",7
FUNDACIÓ PRIVADA ESCOLES UNIVERSITÀRIES GIMBERNAT,FUNDACIÓ PRIVADA ESCOLES UNIVERSITÀRIES GIMBERNAT (SORTIDA DEPURADORA),64
ATLETIC TERRASSA HOCKEY CLUB,TERRASSA HOCKEY CLUB (SORTIDA DEPURADORA),54
EDAR SABADELL/RIU RIPOLL,AIGÜES INTERIORS RIU RIPOLL,55
CASINO DE FIGARÓ,"PROPIEDAD CASINO DEL FIGARÓ, SL I NUCLI DE GALLICANT: RIU CONGOST",43
"SANMY, SA","SANMY, S.A. (SORTIDA DEPURADORA)",1
"BON PREU, SAU (BALENYÀ)",022001000150 - AB 1,36
"MASAI MARA 2006, SL -RESTAURANT EL PINÓS-",RESTAURANT EL PINÓS  (SORTIDA AIGÜES SANITÀRIES),49
"COMAQUIN, SA","AA2003001515 RIU MOGENT (COMAQUIN,SA)",44
"JOSE FUSTE, SA",JOSÉ FUSTÉ SA (SORTIDA SANITÀRIES),22
"BERENGUERA VIDAL, JOAN",JOAN BERENGUERA VIDAL (SORTIDA TRACTAMENT),2
"GREEN PLANET EVENTS, SL","GREEN PLANET EVENTS, SL (SORTIDA TRACTAMENT BAR)",38
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),URBANITZACIÓ SOL I AIRE: TORRENT DE LES MONELLES,53
MANC.INTERM.MARTORELLES I STA.Mª MARTORELLES,NOU CEMENTIRI MARTORELLES: TORRENT INNOMINAT TRIBUTARI DEL TORRENT DE LES LICORELLES,24
"JANÉ COLL, GABINO",MASIA CAN JANÉ (SORTIDA TRACTAMENT),53
"IMPRESS DISEÑO IBERIA, SA","MASA - DECOR, SA_Abocament (Torrent del Joncar)",52
"JIMENEZ MUÑOZ, MANUEL (BIG FAI, RESIDENCIA CANINA)",Abocament BIG FAI (Residència canina),29
"DESGUACES TRECE, SL","DESGUACES TRECE, SL (SORTIDA PRETRACTAMENT2)",47
