key,x,y
"CODORNIU, SA CODORNIU SA (PUNT 2_FERTIRRIGACIÓ)",399461.88,4587595.9
"COVESTRO, SL 011900000002 - AB 1",346916.54,4553717.24
AJUNTAMENT DE BLANES (PLANTA TRACTAMENT) EDAR BLANES,480090.2,4613591.32
"FCC CONSTRUCCIÓN, SA FCC CONSTRUCCIÓN, SA (SORTIDA DEPURADORA)",350404.64,4565931.23
"CODORNIU, SA CODORNIU SA (PUNT 1_SORTIDA TRACTAMENT)",399645.88,4587540.89
"OMNIPACK, SL OMNIPACK, SL (ABOCAMENT)",438973.12,4610948.63
"JEAN LEON, SL JEAN LEÓN, SL  (SORTIDA DEPURADORA)",391750.87,4587675.95
"RESINAS EGARA, SL EDAR TERRASSA",419399.98,4596730.76
FUNDACIO CATALANA DE L'ESPLAI 022001000119 - AB 1,388101.0,4659697.0
ASOCIACION DE INVESTIGACION INDUSTRIAS DEL CURTIDO Y ANEXAS ASOCIACIÓN DE INVESTIGACION INDUSTRIAS DEL CURTIDO Y ANEXAS (SORTIDA RESIDUALS),382683.98,4604638.05
"TECNOPIEL, SA TECNOPIEL, SA  (SORTIDA DEPURADORA)",481382.58,4662918.39
"ECO-GIRONINA DE DEPÒSITS, SL ECOGIRONINA DE DIPOSITS, SL (AIGÜES PLUVIALS)",479980.0,4635790.0
CAN BONDIA RESTAURANT SL JACINTO VERDAGUER COLOMER (SORTIDA DEPURADORA),420000.05,4605456.77
"BOSTIK, SA EDAR RUBI",416668.93,4590130.77
CONSELL COMARCAL DE L'ALT EMPORDÀ CONSELL COMARCAL DE L'ALT EMPORDÀ -ZONA ESPORTIVA ELS GORGS- (SORTIDA DEPURADORA),502606.65,4668395.24
"CANALS CUSSO, JOSEP JOSEP CANALS CUSSO (llera)",405436.08,4612649.89
"VALL DE SANTA MAGDALENA, SA VALL DE SANTA MAGDALENA, SA (SORTIDA DEPURADORA)",486506.77,4686895.39
"CELLER EL MAS PUJO, SA CELLER MAS PUJO (RIERA DE LLITRÀ)",389277.78,4575799.96
"TREFAL, SA TREFAL, SA (SORTIDA AIGÜES RESIDUALS)",431286.04,4602265.68
"SCHÜTZ IBÉRICA, SL SCHUTZ IBERICA, SL_Abocament",340005.51,4550796.29
CLUB DE TENIS SANT GERVASI CLUB DE TENIS SANT GERVASI (SORTIDA DEPURADORA),423637.89,4583990.71
"FERRALLES LA GRANOTA, SL ORTEGA PALENZUELA_INFILTRACIÓ SUBSOL",481711.31,4627990.33
"INTIER AUTOMOTIVE EYBL GMBH, S COM. INTIER AUTOMOTIVE, SA",388475.78,4576473.96
"DS SMITH PACKAGING PENEDES, SA CARTONAJES DEL PENEDÉS, S.A. (SORTIDA DEPURADORA)",393405.89,4589895.95
AUTORITAT PORTUÀRIA DE TARRAGONA (NÚM.23) AUTORITAT PORTUÀRIA DE TARRAGONA,352297.0,4552407.0
"TRANSPAIS INTERMODAL, SL MAR _PORT DE TARRAGONA",348847.0,4551023.0
"MECANIZADOS BUSQUÍ, SL POL IND SUD A RIERA RUBI",417405.93,4590795.77
"CARGILL, SLU CARGILL-RIU LLOBREGAT",410861.94,4592918.82
"GESTORA DE RUNES DEL TARRAGONÉS, SL GESTORA DE RUNES DEL TARRAGONÈS( TORRENT)",361658.59,4556476.13
"TERBULUC, SL TERBULUC",353521.56,4554443.19
"COPERFIL OBRAS Y SERVICIOS, SA RIERA DE RAPIOLES COPERFIL GROUP,SA",456527.16,4613135.5
"AMANN SPAIN, SL AA2003001326-BELFIL,SA",395591.21,4632045.99
"SOLUCIONES ALIMENTARIAS R45, SL EDAR LA POBLA DE LILLET",415252.59,4677328.92
