uwwCode,pe,dcpCode,dcpName,dcpLatitude,dcpLongitude,pop_2015_g,country_id
PLLE0230,15124,PLLE0230Z,dcp Parczew,51.6355,22.8671,17040.0883734184,PL
PLLE0240,5950.575,PLLE0240Z,dcp BYCHAWA,51.0316,22.5233,12371.6765183695,PL
PLLE0160,17903.052,PLLE0160Z,dcp Miejska Oczyszczalnia Ścieków Komunalnych.,51.0008,23.1759,51424.9820043177,PL
PLLE0170,21201.6,PLLE0170Z,dcp Hrubieszów,50.8063,23.9283,30612.9452048447,PL
PLLE0180,12934.045,PLLE0180Z,dcp Zakład Gospodarki Komunalnej,50.7009,22.3836,17718.6202162281,PL
PLLE0190,15283,PLLE0190Z,dcp Włodawa,51.5602,23.5695,23620.0297096036,PL
PLLE0120,19632.649,PLLE0120Z,dcp Dział Utylizacji Odpadów,51.3247,22.9286,2162.66187179834,PL
PLLE0130,16315.007,PLLE0130Z,dcp Dęblin,51.5696,21.8123,557.934405893087,PL
PLLE0140,66222.576,PLLE0140Z,dcp Tomaszów Lubelski,50.4441,23.4322,20386.2051514965,PL
PLLE0150,14684.355,PLLE0150Z,dcp Opole Lubelskie,51.1543,21.9509,7752.71968506882,PL
PLLE0080,25394.88,PLLE0080Z,dcp OŚ Lubartów,51.4709,22.6221,131445.277926765,PL
PLLE0090,37194.64,PLLE0090Z,dcp Kraśnik,50.9505,22.1813,38934.8093334436,PL
PLLE0100,40750.392,PLLE0100Z,dcp Biłgoraj,50.5208,22.7075,19933.7823061477,PL
PLLE0110,18747.547,PLLE0110Z,dcp Międzyrzec Podlaski,51.9886,22.8043,60183.3565575457,PL
PLLE0040,92284.455,PLLE0040Z,dcp Zakład Oczyszczania Ścieków,52.0295,23.1707,68985.3226732726,PL
PLLE0050,13491.554,PLLE0050Z,dcp Oczyszczalnia ścieków FREGATA w Rykach,51.6042,21.8866,664.767261318862,PL
PLLE0060,77199.335,PLLE0060Z,dcp Oczyszczalnia Ścieków w Puławach,51.4515,21.9484,74176.6400492191,PL
PLLE0070,90159.435,PLLE0070Z,dcp Zakład kanalizacji i oczyszczania ścieków,51.9286,22.3948,28252.7567703258,PL
PLL00870N,3585.113,PLL00870NZ,dcp Gomunice,51.1667,19.4763,8500.69312099507,PL
PLLE0010,523619.364,PLLE0010Z,dcp Lublin - Hajdów,51.2684,22.6255,406599.12949879,PL
PLLE0020,103663.08,PLLE0020Z,dcp Zamość,50.7377,23.2425,62298.7802921461,PL
PLLE0030,106264.15,PLLE0030Z,dcp Bieławin,51.1518,23.4713,70660.8655198007,PL
PLKP5032,1173.462,PLKP5032Z,dcp Oczyszczalnia scieków komunalnych w Drzycimiu,53.5112,18.3239,3144.47391098738,PL
PLKP5033,410.94,PLKP5033Z,dcp Oczyszczalnia ścieków socjalno-bytowych Zakład Gródek,53.498,18.3701,313.054818630219,PL
PLKP5034,479.43,PLKP5034Z,"dcp Oczyszczalnia scieków socjalno - bytowych Spółdzielnia Mieszkaniowa ""ENERGETYK"" Gródek",53.5087,18.3716,23620.5541963521,PL
PLL00480,2120.927,PLL00480Z,dcp Przytoczna,52.5809,15.677,7689.36526099034,PL
PLKP1010N,2920.4,PLKP1010NZ,dcp Dobre,52.6933,18.5693,1446.20036290213,PL
PLKP1020N,2675.573,PLKP1020NZ,dcp Izbica Kujawska,52.4172,18.7496,3853.55657839775,PL
PLKP501,2580.656,PLKP501Z,dcp Kikół,52.9262,19.1109,5951.55028248765,PL
PLKP5020,3638.214,PLKP5020Z,dcp Brzoza,53.0171,18.0247,15372.3300097138,PL
PLKP0930N,1825.683,PLKP0930NZ,dcp Kucerz,52.7766,18.9337,12124.5023168391,PL
PLKP0980N,4477.035,PLKP0980NZ,dcp POTULICE,53.1192,17.6697,24503.6738120308,PL
PLKP0990N,4058.1,PLKP0990NZ,dcp ZBW BOS BG-500 Piotrków Kujawski,52.5618,18.498,5153.95585715026,PL
PLKP1000N,2687.133,PLKP1000NZ,dcp Czernikowo,52.9324,18.9531,1712.50123736449,PL
PLKP0890N,1161.206,PLKP0890NZ,dcp RADOMIN,53.0905,19.1922,1231.80195877329,PL
PLKP0900N,1363.4,PLKP0900NZ,dcp KUJAWKA,52.6877,18.7558,1940.30233630911,PL
PLKP0920N,2813.706,PLKP0920NZ,dcp LNIANO,53.5362,18.2136,2075.67509531975,PL
PLKP0930,6615,PLKP0930Z,"dcp Kańczuga ""AXTONE""",49.5915,22.2512,308.869885206223,PL
PLKP0830,3097.206,PLKP0830Z,dcp MIELNO-LUBIENIEC,52.413,19.0119,5235.202813223,PL
PLKP0850,1824.51,PLKP0850Z,dcp Dąbrowa Biskupia,52.786,18.5315,1901.1556081078,PL
PLKP0870N,3685.426,PLKP0870NZ,dcp Zegartowice,53.2314,18.5052,22310.1257260703,PL
PLKP0880N,1577.22,PLKP0880NZ,dcp Gębice,52.6032,18.0383,8665.37788469484,PL
PLKP0780,2899.134,PLKP0780Z,dcp Świecie nad Osą,53.4411,19.1032,28943.013137836,PL
PLKP0801,1799.152,PLKP0801Z,dcp Fabianki,52.713,19.1211,12032.8886718452,PL
PLKP0802,1202.694,PLKP0802Z,dcp Szpetal Górny,52.6908,19.1147,3124.06159419566,PL
PLKP0810,3420.2,PLKP0810Z,dcp BYSŁAW,53.5,17.9929,2517.28265679255,PL
PLKP0720,3420.146,PLKP0720Z,dcp KOWAL,52.5357,19.1598,15586.1713699717,PL
PLKP0730,2487.24,PLKP0730Z,dcp Wąwelno,53.3183,17.6742,260.66455809772,PL
PLKP0740,1990.656,PLKP0740Z,dcp Wójtówka,52.8052,18.8868,355.432975664735,PL
PLKP0770,2879.118,PLKP0770Z,dcp Przeczno,53.1405,18.4683,3067.15063918382,PL
PLKP0672,363.171,PLKP0672Z,dcp Brzezie,52.6861,18.9042,2865.10469595762,PL
PLKP0680,4171.1,PLKP0680Z,dcp Dolna Grupa,53.4896,18.6891,3410.33069970459,PL
PLKP0700,3493.792,PLKP0700Z,dcp Lubraniec Marysin,52.5397,18.8429,29741.9190697707,PL
PLKP0710,3901.968,PLKP0710Z,dcp ROGOWO,52.7312,17.6397,41441.7129170643,PL
PLKP0640,2871.385,PLKP0640Z,dcp Dziemionna,52.9713,18.077,3272.87217612378,PL
PLKP0650,7726.267,PLKP0650Z,dcp Zławieś Wielka,53.0929,18.3016,14907.3602678543,PL
PLKP0660,4543.426,PLKP0660Z,dcp Skępe,52.857,19.3487,2858.42073431611,PL
PLKP0671,6330.569,PLKP0671Z,dcp Stary Brześć,52.6239,18.8986,26556.3267341801,PL
PLKP0560,7964.145,PLKP0560Z,dcp Lubicz Górny,53.0236,18.7558,68337.5688836109,PL
PLKP0570,5202.2,PLKP0570Z,dcp Kowalewo Pomorskie,53.1491,18.9055,9038.86925317999,PL
PLKP0590,6218.19,PLKP0590Z,dcp UNISŁAW,53.2086,18.3586,246.238664627075,PL
PLKP0610,1999.352,PLKP0610Z,dcp Wojnowo,53.2013,17.8404,751.023590564728,PL
PLKP0520,4952.091,PLKP0520Z,dcp Mała Nieszawka,52.9978,18.511,14433.019957304,PL
PLKP0530,8616.34,PLKP0530Z,dcp Dobrzejewice,53.0015,18.8305,3499.94506115466,PL
PLKP0540,4775.98,PLKP0540Z,dcp Śliwice,53.7068,18.1869,4811.69143375754,PL
PLKP0550,2272.284,PLKP0550Z,dcp Oczyszczalnia ścieków w Dobrzyniu nad Wisłą,52.3853,19.1867,76.4990084171295,PL
PLKP0470,8322.068,PLKP0470Z,dcp Mrocza,53.2384,17.6148,11424.0587184113,PL
PLKP0480,4814.59,PLKP0480Z,dcp Jeżewo,53.5098,18.5065,1189.41944770515,PL
PLKP0490,9736.512,PLKP0490Z,dcp Jabłonowo Pomorskie,53.3946,19.1395,23280.0127479089,PL
PLKP0500,6538.854,PLKP0500Z,dcp Oczyszczalnia ścieków miasta Radziejów,52.6318,18.5122,6396.34787410498,PL
PLKP0410,5816.79,PLKP0410Z,dcp Flantrowo,52.7582,17.468,368.050479590893,PL
PLKP0430,7542.99,PLKP0430Z,dcp Osie,53.6033,18.3235,5495.94116839767,PL
PLKP0440,2651,PLKP0440Z,dcp Świekatowo,53.4091,18.0782,1676.40023619682,PL
PLKP0460,4348.566,PLKP0460Z,dcp Kamień Krajeński,53.5285,17.5475,14625.7705607798,PL
PLKP0360,11520.18,PLKP0360Z,dcp Soda Polska CIECH S.A. Zakład Produkcyjny JANIKOSODA w Janikowie.,53.004,18.2804,18.5766143798828,PL
PLKP0380,4282.115,PLKP0380Z,dcp Łasin,53.5111,19.0898,2304.63699707389,PL
PLKP0390,6102.18,PLKP0390Z,dcp Złotniki Kujawskie,52.888,18.1547,748.890654981136,PL
PLKP0400,3104.676,PLKP0400Z,dcp PRUSZCZ,53.3205,18.2041,1055.72459506989,PL
PLKP0310,8178,PLKP0310Z,dcp Tryl,53.6365,18.7292,86670.7152308999,PL
PLKP0320,2897.454,PLKP0320Z,dcp Osięciny,52.6241,18.7319,458.670246064663,PL
PLKP0330,4731.031,PLKP0330Z,dcp Kcynia,52.9811,17.4836,2461.96987501439,PL
PLKP0350,11037,PLKP0350Z,dcp SZUBIN,53.0141,17.775,25374.407301384,PL
PLLU0271,7426.622,PLLU0271Z,dcp Rzepin,52.3346,14.8323,2766.88162225485,PL
PLLU0272,0,PLLU0272Z,"dcp Kowalów, Drzeńsko",52.3833,14.7677,0,PL
PLLU0280,5340.216,PLLU0280Z,dcp NOWOGRÓD BOBRZAŃSKI,51.8095,15.2413,62667.4178496525,PL
PLLU0290,1265.904,PLLU0290Z,dcp Stare Kurowo,52.5051,15.3955,363.098197165877,PL
PLLU0231,20080.367,PLLU0231Z,dcp Sława,51.8727,16.1621,1523.47142523527,PL
PLLU0240,3127.278,PLLU0240Z,dcp Nowe Miasteczko,51.7055,15.7194,5474.91944850981,PL
PLLU0250,3747.123,PLLU0250Z,dcp Iłowa,51.311,15.1258,0,PL
PLLU0260,9131.76,PLLU0260Z,dcp Zbąszynek,52.25,15.8237,5673.83950040117,PL
PLLU0190,12454.538,PLLU0190Z,dcp Drezdenko,52.845,15.821,12690.2721824758,PL
PLLU0200,12207.151,PLLU0200Z,dcp OŚ W SULĘCINIE,52.4694,15.1042,13797.6530918106,PL
PLLU0210,8192.926,PLLU0210Z,dcp Podbrzezie Dolne,51.7573,15.601,11795.5455069914,PL
PLLU0220,11015.55,PLLU0220Z,dcp Miejska Oczyszczalnia ścieków w Skwierzynie,52.5978,15.4913,16704.0633712616,PL
PLLU0150,24445.096,PLLU0150Z,dcp Obra,52.4515,15.5603,1401.13187754154,PL
PLLU0160,23947.01,PLLU0160Z,dcp MOS SŁUBICE,52.3702,14.5858,4539.52904075384,PL
PLLU0170,17665.403,PLLU0170 Z,dcp Lubsko,51.793,14.9444,14015.2232591454,PL
PLLU0180,15693.582,PLLU0180Z,dcp Białczyk,52.648047,14.943121,194561.696784106,PL
PLLU0110,13700.596,PLLU0110Z,dcp MIEJSKA OCZYSZCZALNIA ŚCIEKÓW,52.5212,15.3259,0,PL
PLLU0120,21855.676,PLLU0120Z,dcp Nowy Świat,52.0616,15.5953,18211.5126124891,PL
PLLU0130,16503.116,PLLU0130Z,dcp Wschowa,51.7573,16.312,1263.94885605574,PL
PLLU0140,16880.32,PLLU0140Z,dcp Kostrzyn  ul. Asfaltowa,52.5992,14.61,46595.9074921941,PL
PLLU0070,37244.186,PLLU0070Z,dcp Świebodzin,52.2542,15.5582,19725.6759981699,PL
PLLU0080,6418.86,PLLU0080Z,dcp LEMNA,52.0754,15.8847,54036.3474777557,PL
PLLU0090,16508.64,PLLU0090Z,"dcp Oczyszczalnia Ścieków, ul. Akacjowa w Wiechlicach",51.555,15.5741,9214.95470076241,PL
PLLU0100,15026.748,PLLU0100Z,dcp KROSNO ODRZAŃSKIE,52.0327,15.0704,9003.38210861385,PL
PLLU0030,15756.136,PLLU0030Z,dcp Przedsiębiorstwo Oczyszczania Ścieków Gubin - Guben Sp. z o.o.,51.9729,14.7072,40698.2840921814,PL
PLLU0040,41071.415,PLLU0040Z,"dcp Spółka Wodno-Ściekowa ""Złota Struga""",51.6448,15.171,33223.9375361353,PL
PLLU0050,41416.063,PLLU0050Z,dcp Żagańskie Wodociągi i Kanalizacje Sp. z o.o. w Żaganiu,51.3856,15.1748,8110.81303799897,PL
PLLU0060,46795.38,PLLU0060Z,dcp Nowa Sól,51.8251,15.73,34156.7519958615,PL
PLLO5020,1540.955,PLLO5020Z,dcp Żarnów,51.254,20.1743,2177.19965052605,PL
PLLO890N,3080.421,PLLO890NZ,dcp Wolbórz,51.5031,19.8479,11961.4695859151,PL
PLLU0010,157578.798,PLLU0010Z,dcp Gorzowska Oczyszczalnia Ścieków,52.7139,15.1507,1661.83532983065,PL
PLLU0020,194323.347,PLLU0020Z,dcp Łącza,52.0168,15.4339,62927.8038314022,PL
PLLO0880Na,2274.525,PLLO0880NaZ,dcp Rokiciny,51.6656,19.8007,2316.97816872597,PL
PLLO0902N,1988.298,PLLO0902NZ,dcp LIBISZÓW,51.4399,20.3273,4614.20064815879,PL
PLLO0910N,5125.616,PLLO0910NZ,dcp Uniejów,51.5947,18.4717,2075.30380882695,PL
PLLO5010,78.48,PLLO5010Z,dcp Kopydłów,51.1439,18.2935,7655.34471680992,PL
PLLO0830N,1162.924,PLLO0830NZ,dcp Lipce Reymontowskie,51.912,19.9834,1769.03129626065,PL
PLLO0840N,1961.28,PLLO0840NZ,dcp Mokrsko,51.1767,18.4627,761.703137159348,PL
PLLO0870NA,2728.44,PLLO0870NZ,dcp Oczyszczalnia Ścieków w Paradyżu,51.3086,20.1266,1393.94546204805,PL
PLLO0880N,4996.151,PLLO0880NZ,dcp ECOLO-CHIEF,51.1824,20.1645,23001.0820520027,PL
PLLO0790N,1069.224,PLLO0790NZ,dcp GminnaOczyszczalnia ścieków w Krzeczowie,51.1963,18.7629,15751.1077424251,PL
PLLO0801N,1915.599,PLLO0801NZ,dcp Spała,51.3594,20.1385,871.268025919795,PL
PLLO0802N,0,PLLO0802NZ,dcp Zakościele,51.5343,20.2694,90563.5255583031,PL
PLLO0810,4072.68,PLLO0810Z,dcp BOLESŁAWIEC,51.2059,18.1842,12124.8699338948,PL
PLLO0590,416.556,PLLO0590Z,dcp Bartoszówka,51.639,20.3257,2127.27064425126,PL
PLLO0630,3059.247,PLLO0630Z,dcp Lgota Wielka typ SUPERBOS 500,51.1531,19.3349,627.080489993095,PL
PLLO0720,5638.572,PLLO0720Z,dcp Żurawia,51.4828,20.2821,551.203854233027,PL
PLLO0780N,1951.695,PLLO0780NZ,dcp Osjaków,51.2936,18.7884,12121.0339146666,PL
PLLO0450,2258.789,PLLO0450Z,dcp GOŚ Czarnocin bio-pak 500,51.605,19.6929,10690.6410556752,PL
PLLO0470,6081.75,PLLO0470Z,dcp Lubochnia,51.5921,20.0532,6912.03044511471,PL
PLLO0490,4516.404,PLLO0490Z,dcp Szczerców,51.2001,19.6872,28.0690355300903,PL
PLLO0540,2340.624,PLLO0540Z,dcp Gidle,50.9658,19.4539,12566.7502296539,PL
PLLO0403,2572.83,PLLO0403Z,dcp Żarnowica,51.4674,19.8723,825.092874750495,PL
PLLO0410,3509.73,PLLO0410Z,dcp Przedbórz,51.0901,19.8752,49137.4889304247,PL
PLLO0420,5733.522,PLLO0420Z,dcp Gminna Oczyszczalnia Ścieków,51.6642,19.4719,46660.9035628289,PL
PLLO0430,9920.73,PLLO0430Z,dcp Miejska Komunalna Oczyszczalnia Ścieków w Pajęcznie,51.1503,18.9737,5987.52608972788,PL
PLLO0370,4133.376,PLLO0370Z,dcp Oczyszczalnia Wartkowice,51.9765,19.0149,265992.709112354,PL
PLLO0380,2816.582,PLLO0380Z,dcp Gorzkowice,51.227,19.6263,7984.98865670711,PL
PLLO0390,7671.972,PLLO0390Z,dcp Stryków,51.9055,19.5731,12534.3093108833,PL
PLLO0402,963.895,PLLO0402Z,dcp Psary Stare,51.4948,19.7561,1523.28058856353,PL
PLLO0330,6682.236,PLLO0330Z,dcp Moszczenica,51.5005,19.7192,10938.4006950003,PL
PLLO0340,5276.048,PLLO0340Z,dcp Miejska Oczyszczalnia Ścieków w Sulejowie,51.3756,19.8562,28848.5839711051,PL
PLLO0350,9875.165,PLLO0350Z,dcp Hydrocentrum,51.4508,20.4938,13649.2575424686,PL
PLLO0360,4806.44,PLLO0360Z,dcp Tuszyn,51.6154,19.5564,3634.68881508708,PL
PLLO0292,2153.357,PLLO0292Z,dcp Trębaczew,51.109,18.8914,70390.2049074881,PL
PLLO0300,13221.18,PLLO0300Z,dcp Oczyszczalnia Ścieków w Wieruszowie,51.3056,18.1504,5009.28299726546,PL
PLLO0310,12578.984,PLLO0310Z,dcp Koluszki,51.6964,19.8603,328.700625298545,PL
PLLO0320,8747.375,PLLO0320Z,dcp ŻYCHLIN,52.2394,19.6335,12718.7195442747,PL
PLLO0260,8391.215,PLLO0260Z,dcp Pawlikowice,52.2482,19.1922,8640.24166023452,PL
PLLO0270,2866.488,PLLO0270Z,dcp komunalna,51.3932,18.2552,14165.8419924863,PL
PLLO0280,7761.672,PLLO0280Z,dcp Zelów,51.4577,19.2138,8952.12824183702,PL
PLLO0291,9481.909,PLLO0291Z,dcp Działoszyn,51.1097,18.869,6120.84854777157,PL
PLLO0220,7117.954,PLLO0220Z,dcp Gminna Oczyszczalnia Ścieków w Kraszewie,51.7156,19.6666,22543.3927779235,PL
PLLO0230,3269.72,PLLO0230Z,dcp WARTA,51.7181,18.6293,201044.873500138,PL
PLLO0240,25805.461,PLLO0240Z,dcp Oczyszczalnia ścieków w Żydomicach,51.7898,20.266,43711.5021987129,PL
PLLO0250,10174.788,PLLO0250Z,dcp Miejska Oczyszczalnia Ścieków,51.9738,19.7092,46432.5490336688,PL
PLLO0180,15492.798,PLLO0180Z,dcp Brzeziny,51.4921,19.4512,438.408428922296,PL
PLLO0190,8318.933,PLLO0190Z,dcp Poddębice,51.5418,18.5645,908.22660368681,PL
PLLO0200,3099.42,PLLO0200Z,dcp Wola Krzysztoporska,51.3455,19.5727,2702.7864299342,PL
PLLO0210,18330.527,PLLO0210Z,dcp Łęczyca,52.0623,19.2077,22659.0634442334,PL
PLLO0140,21446.095,PLLO0140Z,dcp Łask,51.5978,19.1103,50721.0414167622,PL
PLLO0150,27493.125,PLLO0150Z,dcp OPOCZNO,51.3821,20.3072,45051.1272053826,PL
PLLO0160,21727.42,PLLO0160Z,dcp Oczyszczalnia Ścieków w Cedrowicach,51.9889,19.2821,24883.6025816239,PL
PLLO0170,23308.029,PLLO0170Z,dcp Ruda Bugaj,51.8412,19.2744,123058.363481015,PL
PLLO0100,342.24,PLLO0100Z,dcp Michowice,51.8231,20.0995,4000.88398748636,PL
PLLO0110,73555.384,PLLO0110Z,dcp Mokra Prawa,51.9771,20.1116,45665.5721589401,PL
PLLO0120,90318.336,PLLO0120Z,dcp Zgierz,51.8496,19.383,46431.0038644373,PL
PLLO0130,33517.96,PLLO0130Z,dcp Wieluń,51.2314,18.5794,38937.0045219073,PL
PLLO0060,52469.261,PLLO0060Z,dcp Radomsko,51.0439,19.4179,47495.6880374514,PL
PLLO0070,59534.951,PLLO0070Z,dcp Bełchatów,51.3453,19.3847,60184.5274383835,PL
PLLO0080,52395.645,PLLO0080Z,dcp Oczyszczalnia Ścieków MPWiK Sieradz Sp. z o. o. w Sieradzu,51.632,18.713,12309.0665411949,PL
PLLO0090,77956.76,PLLO0090Z,dcp Tymienice,51.6122,18.9153,43517.8309517056,PL
PLLO0020,89421.326,PLLO0020Z,dcp Miejska Oczyszczalnia Ścieków,51.4791,19.8588,348.489598426968,PL
PLLO0030,198245.348,PLLO0030Z,dcp Kutno,52.2,19.4078,73472.9515266209,PL
PLLO0040,101367.651,PLLO0040Z,dcp OCZYSZCZALNIA ŚCIEKÓW W TOMASZOWIE MAZOWIECKIM,51.5355,20.0576,138284.430981966,PL
PLLO0050,85652.95,PLLO0050Z,dcp miejska oczyszczalnia w Łowiczu,52.1048,19.9733,129850.059330009,PL
PLLE1280N,1555.008,PLLE1280NZ,dcp Oczyszczalnia ścieków w Kamionce,51.4626,22.4709,6418.15294951107,PL
PLLE1290N,1786,PLLE1290NZ,dcp Wola Sernicka,51.4527,22.6703,1525.63574219868,PL
PLLE1300N,1007.16,PLLE1300NZ,dcp Jedlanka,51.5133,22.9222,2646.96138634905,PL
