id,name_ci,name_ind,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete,conca
53,pt0112,pt030,42.21599214,2.51014361,459568.6923,4673874.172,,,615,,no,fluvia
54,pt0114,pt050,42.21694652,2.211997193,434961.4175,4674164.537,,,496,,no,ter
55,pt0116,pt032,42.214472,2.462665928,455648.9494,4673728.989,,,576,,no,fluvia
56,pt0118,pt052,42.20556103,2.173449282,431767.553,4672930.483,,,487,,no,ter
57,pt0120,pt054,42.03461442,3.059634219,504936.0868,4653621.156,,,389,,no,ter
58,pt0122,pt034,42.18947124,2.84264416,487006.8925,4670825.331,,,,,yes,fluvia
59,pt0124,pt036,42.22025923,2.442388048,453979.4293,4674382.312,,,538,,no,fluvia
60,pt0126,pt038,42.21457964,2.662297052,472126.3871,4673656.397,,,552,,no,fluvia
61,pt0128,pt056,42.22642645,2.261136653,439026.3361,4675180.818,,,498,,no,ter
62,pt0130,pt040,42.22094384,2.607732566,467625.9416,4674382.312,,,544,,no,fluvia
63,pt0132,pt058,42.2284996,2.278704976,440478.0927,4675398.592,EDAR SANT JOAN DE LES ABADESSES,ES9171670007010E,,,no,ter
64,pt0134,pt042,42.23336839,2.608535335,467698.5294,4675761.549,,,545,,no,fluvia
65,pt0136,pt060,42.24995612,2.164950603,431114.2625,4677866.702,,,,,yes,ter
66,pt0138,pt044,42.2477361,2.604047029,467335.5902,4677358.561,,,546,,no,fluvia
67,pt0140,pt046,42.24072523,2.660398069,471981.2114,4676560.055,,,551,,no,fluvia
68,pt0142,pt062,42.24801675,2.082266235,424291.0063,4677721.519,,,,,yes,ter
69,pt0144,pt048,42.21839033,2.807392729,484103.3793,4674042.27,,,,,yes,fluvia
70,pt0146,pt050,42.17620647,2.73896609,478441.5284,4669373.502,,,558,,no,fluvia
71,pt0148,pt052,42.16964834,2.730204902,477715.6501,4668647.587,,,,,yes,fluvia
72,pt0150,pt064,42.04992871,2.264939953,439171.5117,4655581.125,,,,,yes,ter
73,pt0152,pt054,42.20025638,2.499714328,458697.6383,4672131.977,,,,,yes,fluvia
74,pt0154,pt037,42.23599121,2.961292998,496806.2497,4675979.324,,,593,,no,muga
75,pt0156,pt056,42.17995505,2.491963791,458044.3479,4669881.642,,,535,,no,fluvia
76,pt0158,pt039,42.22421587,2.94370874,495354.4931,4674672.678,,,527,,no,muga
77,pt0160,pt058,42.17536311,2.488484978,457753.9965,4669373.502,,,534,,no,fluvia
78,pt0162,pt066,42.08093367,2.836769474,486498.7777,4658775.149,,,,,yes,ter
