activitat;Punt2
VILAFRANCA SERVEIS AVICOLES 2014, SL;73
CASA DE COLONIES CAL DIABLE;80
CELLER EL MAS PUJO, SA;72
MIGUEL TORRES, SA;74
TECNICAS E INGENIERIA DE PROTECCION, SA;75
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA 30);72
MADOBE 1307, SL;79
EDAR L'AVELLÀ;76
PARROQUIA DE SANTA MARIA;599
CUSCÓ RAFECAS, JAUME;78
EDAR BELLVER DE VILOBÍ DEL PENEDÈS;75
CEDIPSA - ESTACIÓ DE SERVEI;74
RESIDÈNCIA - CASA PAGÈS (LLOPART GÜELL, SERGI);75
MEGADYNE RUBBER, SA;
GRAN CASINO DE BARCELONA, SL;
CEMEX ESPAÑA OPERACIONES, SLU;
GASSOL SAFONT, FRANCISCO ( MASIA XURIGUERA);
QUALITAT D'OBRES, SL;
JANSA SAPERAS, MARIA ROSA;70
ACEROS PARA LA CONSTRUCCION, SA;68
ACEROS PARA LA CONSTRUCCION, SA;68
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU - PEATGE DE BANYERES;64
FUNDACIÓ ESCOLES FAMILIARS RURALS DEL PENEDÈS;68
JOAN BALLES SEGURA (RESTAURANT CAN MARÇAL);69
RA HOTELS, SA - LE MÉRIDIEN RA BEACH HOTEL & SPA;
MONT MARÇAL VINICOLA, SA;69
VINS FONT, SA;70
SECTOR INDUSTRIAL EL FOIX;68
CAMPSA ESTACIONES DE SERVICIO, S.A;67
ROBERT BOSCH ESPAÑA FABRICA CASTELLET, SA;69
AGRÍCOLA I SECCIÓ DE CRÈDIT D'ALBINYANA, SCCL;61
EDAR URBANITZACIÓ VALLDEMAR;
AREAMED 2000, SA - AREA DE SERVEI DEL PENEDÈS;67
SAINT-GOBAIN CRISTALERIA, SL;65
CENTRE VINICOLA DEL PENEDES, SCCL;65
AREAS, SA (A. DEL PENEDES);67
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;
AGRÍCOLA I CAIXA AGRÀRIA I SECCIÓ DE CRÈDIT DE BRÀFIM, SCCL;55
PROMOCIONES PERALTA SL;53
EXPLOTADORA DE MANANTIALES, SA (AIGUA FONT NOVA);59
AJUNTAMENT DE RENAU;53
ESTACIÓN DE SERVICIO LA BISBAL DEL PENEDÈS (34.409) (CAMPSA);63
ESTACIÓ DE SERVEI, SA MEDOL  N.C. 31412;
COOP. AGRICOLA I CAIXA AGRARIA MASLLORENÇ, SCCL;54
ESTACIÓ DE SERVEI ALT CAMP, I Y II ( CEDIPSA);54
GRANJA SOLÉ, SL;58
AJUNTAMENT DE VILA-RODONA;57
CODELFE PENEDÈS 2006, SL;63
CODELFE PENEDÈS 2006, SL;63
VINS FONT, SA;56
AJUNTAMENT DE VILA-RODONA (POL.LES ARENELLES);57
AJUNTAMENT DE VESPELLA DE GAIÀ;52
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;57
GESTORA DE RUNES DEL TARRAGONÉS, SL;
CASTELL D'OR, SL;58
MOTOR AVENTURA XXI, SL;60
AJUNTAMENT DE LA BISBAL DEL PENEDÈS;62
CONSELL COMARCAL DEL BAIX PENEDÈS (EDAR BONASTRE);
GOLF HOTEL F&G LA FIGUEROLA;1
METALURGICA FOLCH, SL;5
SAVASUN, S.A.;2
VERDCAMP FRUITS S.A.T.;4
SAVASUN, S.A;2
COMAIGUA, SL (RIUDECANYES);3
SAVASUN, S.A.;2
AJUNTAMENT DE MONT-ROIG DEL CAMP;
ENTIDAD URB. COL. DE CONSERV. RUSTICAL BALNEARIO;
AREAS 2021, SLU - ÀREA DE SERVEI DE L'HOSPITALET;
C.N VANDELLOS II OFICINES;
MINISTERIO DE FOMENTO - UTE AUTOVIA B-40;176
AJUNTAMENT DE SANT ESTEVE SESROVIRES (TORRENT LES MORERES);172
AIR LIQUIDE IBÉRICA DE GASES, SLU;172
INCASOL - COL├ÆNIA SEDÓ;188
ENS D'ABASTAMENT D'AIGUA TER LLOBREGAT (PLANTA ABRERA);173
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS;174
RESIDUOS ALTERNATIVOS DE CATALUÑA, SL;186
AJUNTAMENT D'HOSTALETS DE PIEROLA;185
TRANSPORTES AMADOR GARCIA GONZALEZ, SA;172
PETRONIEVES, SL;172
AMAT-3, SA;172
JUNTA DE COMPENSACIÓ SECTOR P-7;172
CERAMICA ELIAS, SA;185
SPAN DECK CATALANA, SA;185
S.A. TINTES TEXTILES-81;188
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS;174
JUNTA DE COMPENSACIÓ CAN COROMINES;177
UNITEX, SA (UO-LF);188
ARQUE ELIAS, SL;172
SALVIA ELECTRONIC, S.L.;188
COMERCIAL CATALANA DE MAQUINARIA TEXTIL, S.A.;188
HIDRODATA, SA - CH EL CAIRAT;189
HOTEL EL BRUC, SL;185
EXPLOTACIONS FUNERARIES, SL;187
TAIGUA, AIGUA MUNICIPAL TERRASSA;187
BALDOSAS VALLES, SL;185
S.A. TINTES TEXTILES-81;188
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS;174
EXPLOTACIONES AGRICOLAS Y FORESTALES BRUGAROL, SA  -CELLER-;385
PERE ROCA, SA;385
ANADAUTO, SL;386
MONTAÑA DOU, LLUÍS;258
RESTAURANT LA MOLA, SL;262
SAULEDA, SA;256
EVOFEED, SL;261
GONZ├üLEZ GARCÍA, MARIA CARMEN;255
AJUNTAMENT D'AVINYÓ - POL. IND. EL SOLER;255
EMBUTIDOS SOLÀ, SA;260
COLLELL CARRILLO, LÍDIA;260
SANFEPLAST,SA;257
