,activitat_,nom_abocam,ind_id,utm_x,utm_y,Niquel,Triclorometà,Plom,Diuron
109,AJUNTAMENT DE SANT ESTEVE SESROVIRES - POL.IND. ANOIA,POLÍGON INDUSTRIAL ANOIA_SANT ESTEVE SESROVIRES (SORTIDA DEPURADORA),121,407160.2782,4590466.592,0.0,0.0,0.0,0.0
111,FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR,FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR -HIDROCARBURADES I SANITÀRIES- (SORTIDA DEPURADORA),159,390174.7257,4604839.7,0.0,0.0,0.0,0.0
112,"CEMENTOS MOLINS INDUSTRIAL, SA","CEMEX SANT FELIU DE LLOBREGAT, ABOCAMENT SANITÀRIES A BARRANC SARDANET",99,421097.1418,4583062.264,0.0,0.0,0.0,0.0
113,"CARBURANTS J. SOLANAS, SL",022002000002-Torrent Bo (tributari del Llobregat),118,412822.129,4592063.604,0.0,0.0,0.0,0.0
114,"FOLCH,S.A.","RIU ANOIA - FOLCH, SA",170,407886.1565,4593297.659,0.0,0.0,0.0,0.0
115,"CEMENTOS MOLINS INDUSTRIAL, SA",CIMENTS MOLINS EXTRACTIVA LA FOU (SORTIDA FOSSA SÈPTICA 2),107,409337.9131,4581465.252,115.34038000000001,3.5730231839999997,1.4294089600000002,0.0259729392
116,"AGROMILLORA IBERIA, SLU",022001000111,133,402224.3056,4587199.977,0.0,0.0,0.0,0.0
117,AJUNTAMENT DE GELIDA,ABOCAMENT DEL POLIGON LA GELIDENSE,128,405272.9946,4589377.72,0.0,0.0,0.0,0.0
119,"LINARES TALLÓ, JORDI",JORDI LINARES TALLÓ (SORTIDA DEPURADORA),193,407305.4538,4610574.424,0.0,0.0,0.0,0.0
121,"GALPGEST PETROGAL ESTACIONES DE SERVICIO, SLU",GALP DISTRIBUCION OIL ESPAÑA - E.S. VALLIRANA (ARQUETA PRÈVIA A L'ABOCAMENT),107,409337.9131,4581465.252,0.0,0.0,0.0,0.0
122,AJUNTAMENT DE CORBERA DE LLOBREGAT,AJUNTAMENT DE CORBERA DE LLOBREGAT (SORTIDA PLUVIALS I REG PAVIMENTS),110,415217.5274,4588506.623,0.0,0.0,0.0,0.0
123,"ITG BAIX, SL (INDUSTRIA DE TRATAMIENTO GALVANICO)","Abocament ITG BAIX, SL  (Sortida depuradora) - riera de Vallirana",107,409337.9131,4581465.252,0.0,0.0,0.0,0.0
124,EDAR LAVERN,EDAR LAVERN,136,397070.5696,4583788.178,0.0,0.0,0.0,0.0
125,"SOCIETAT GENERAL D'AIGÜES DE BARCELONA, SA","Abocament SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA (022000000086)",94,420226.0878,4577908.271,0.0,0.0,0.0,0.0
126,"RESTAURANT CAL JEPET, SL","CAL JEPET, SL",194,400482.1977,4611372.93,0.0,0.0,0.0,0.0
127,"IBERINOX 88, SA","Abocament 5 IBERINOX 88, SA Riera de la Salut aigües pluvials",100,420806.7904,4582699.306,0.0,0.0,0.0,0.0
128,"AUTEMA, SA",AUTEMA SA (SORTIDA EDIFICI MANTENIMENT + BOX DE RENTAT DEL PEATGE DE CASTELLBELL I EL VILAR),602,405055.2311,4611953.662,0.0,0.0,0.0,0.0
129,"GABINETE DE ASISTENCIA A LA CONSTRUCCION, S.L","GABINETE DE ASISTENCIA A LA CONSTRUCCION, S.L  (arqueta sortida)",116,418556.5677,4605057.474,0.0,0.0,0.0,0.0
130,"BODEGUES SUMARROCA, SL","ABOCAMENT 2 BODEGUES SUMARROCA, SL",133,402224.3056,4587199.977,4815.460864999999,149.17371793199996,59.67782408,1.0843702115999998
131,RESTAURANT EL MOLÍ BLANC,DAVID HERRERIAS BATLLA - MASIA MOLÍ BLANC,145,392860.4754,4589159.946,0.0,0.0,0.0,0.0
133,FUNDACIÓN FILOKALIA AMIGOS DE AMMA,FUNDACIÓN FILOKALIA - AMIGOS DE AMMA,149,396925.394,4590539.183,0.0,0.0,0.0,0.0
135,"CEMENTOS MOLINS INDUSTRIAL, SA",CEMEX SANT FELIU DE LLOBREGAT ABOCAMENT PLUVIALS RIERA SALUT,99,421097.1418,4583062.264,0.0,0.0,0.0,0.0
136,"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA TRACTAMENT 1)",120,409120.1496,4591337.689,0.0,0.0,0.0,0.0
137,INCASOL - COLÒNIA SEDÓ,INCASOL - COLÒNIA SEDÒ: LLERA DEL RIU LLOBREGAT,187,406071.4607,4600048.664,0.0,0.0,0.0,0.0
138,"PULIDOS Y CROMADOS DE METALES, SL",CROMIPUL (SORTIDA SANITÀRIES),134,400772.549,4587345.159,0.0,0.0,0.0,0.0
139,"ROTOCAYFO,SL",PRINTER-Riera Manya,103,417467.7502,4584368.91,12432.527613819177,0.0,2668.479619726027,0.0
141,"TAIGUA, AIGUA MUNICIPAL TERRASSA","Taigua, Aigua municipal de Terrassa-desguàs depuradora",186,409120.1496,4598596.835,0.0,0.0,0.0,0.0
142,"JUVE & CAMPS, SA",TORRENT DE CAN TORRES (JUVE I CAMPS),132,402805.0083,4587635.525,20184.566499999997,625.2790571999999,250.146568,4.54526436
143,"CARBURANTS J. SOLANAS, SL",CARBURANTS J-SOLANAS: Sortida tractament,97,424653.9455,4576601.624,0.0,0.0,0.0,0.0
144,"IBERINOX 88, SA","Abocament 2 IBERINOX 88, SA Riera de la Salut aigües pluvials",100,420806.7904,4582699.306,0.0,0.0,0.0,0.0
145,CASA CAL FAINÉ,TORRENT DEL RUBIO (afluent del riu Llobregat),197,404692.2919,4613913.631,0.0,0.0,0.0,0.0
146,"CEMENTOS MOLINS INDUSTRIAL, SA","CEMEX SANT FELIU DE LLOBREGAT, ABOCAMENT SANITÀRIES A BARRANC CAN MARCH",99,421097.1418,4583062.264,0.0,0.0,0.0,0.0
147,"METALES BAIX LLOBREGAT, SL.","METALES BAIX LLOBREGAT 2000, SL (SORTIDA SANITÀRIES)",170,407886.1565,4593297.659,0.0,0.0,0.0,0.0
148,"MARIA NUTO, SA",Abocament MARIA NUTO SA - Torrent Sant Francesc,143,398522.3263,4588651.806,0.0,0.0,0.0,0.0
149,"SEGURA VIUDAS, SA","ABOCAMENT SEGURA VIUDAS, SA - RIERA DE RIUDEBITLLES (RESTA DE L'ANY)",144,394820.3469,4588579.214,115340.38,3573.0231839999997,1429.40896,25.972939199999995
150,"COGENERACIÓN PRAT, SA",COGENERACION PRAT SA  (SORTIDA TRACTAMENT),97,424653.9455,4576601.624,0.0,0.0,0.0,0.0
151,"LABORATORIO JAER, SA","LABORATORIO JAER, SA_Abocament (Llera)",600,389303.6717,4602153.816,0.0,0.0,0.0,0.0
152,AJUNTAMENT DE SANT ESTEVE SESROVIRES (TORRENT LES MORERES),"Abocament CA N'ESTELLA, SA - torrent de les Moreres",171,410136.3793,4594241.347,0.0,0.0,0.0,0.0
153,AJUNTAMENT DE PIERA (BARRI DE LA FORTESA),AJUNTAMENT DE PIERA (BARRI DE LA FORTESA),149,396925.394,4590539.183,0.0,0.0,0.0,0.0
154,"SALVIA ELECTRONIC, S.L.",AA2002001596,187,406071.4607,4600048.664,0.0,0.0,0.0,0.0
155,"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI F (SORTIDA TRACTAMENT),120,409120.1496,4591337.689,0.0,0.0,0.0,0.0
156,"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI D (SORTIDA TRACTAMENT),120,409120.1496,4591337.689,0.0,0.0,0.0,0.0
157,"RECUPERACION Y RECICLAJE DE RESIDUOS, SL",RECUPERACION Y RECICLAJE DE RESIDUSO_Riera de Rubí,583,417975.865,4591265.098,0.0,0.0,0.0,0.0
158,"ESTACION DE SERVICIO EL BRUCH, SA (REPSOL)",ESTACIÓ DE SERVEI EL BRUC: RIERA MAGAROLA,183,396997.9818,4603750.828,0.0,0.0,0.0,0.0
159,"CAN MAS, CASA DE COLONIES, S.L","CAN MAS, CASA DE COLONIES, S.L   (LSORTIDA DEPURADORA",101,414491.6491,4578343.819,0.0,0.0,0.0,0.0
160,"FAST ENGINYERIA, SL","FAST ENGINYERIA, SL (SORTIDA DEPURADORA  AIGÜES RESIDUALS SANITÀRIES)",159,390174.7257,4604839.7,0.0,0.0,0.0,0.0
161,EDAR LA FANGA,EDAR LA FANGA (SORTIDA DEPURADORA),138,393150.8267,4583134.855,0.0,0.0,0.0,0.0
162,"AUTEMA, SA",AUTEMA SA (SORTIDA TRACTAMENT DE LES CABINES DE PEATGE DE SORTIDA DE CASTELLBELL I EL VILAR),195,404982.6432,4611155.156,0.0,0.0,0.0,0.0
163,"DRAGADOS, SA","DRAGADOS, SA (SORTIDA DEPURADORA) - llera innominada",113,418846.919,4593805.799,0.0,0.0,0.0,0.0
164,"ARQUE ELIAS, SL","ARQUE ELIAS, SL",171,410136.3793,4594241.347,0.0,0.0,0.0,0.0
165,"AIR LIQUIDE IBÉRICA DE GASES, SLU","AIR LIQUIDE IBERICA DE GASES, SLU  (abocament purgues refrigeració)",171,410136.3793,4594241.347,86505.285,2679.7673879999998,1072.05672,19.4797044
166,"CELLER PARDAS, SL",ABOCAMENT RAMON PARERA PARDAS (SANITÀRIES),145,392860.4754,4589159.946,0.0,0.0,0.0,0.0
167,"TECASA, TABIQUES, SL",Teuleria Catalana-abocament,596,413548.0073,4591773.238,0.0,0.0,0.0,0.0
168,"HERCA, SCCL","HERCA, SCCL (SORTIDA TRACTAMENT)",200,397070.5696,4615728.418,0.0,0.0,0.0,0.0
169,ATRA ASSOCIACIÓ,ATRA ASSOCIACIÓ (SORTIDA DEPURADORA),601,403748.6501,4607452.992,0.0,0.0,0.0,0.0
170,"LA GRAMANOSA, SL","RIERA DELS GORGS (GERMINA VITI, SL)",137,395328.4617,4583425.221,0.0,0.0,0.0,0.0
171,FUNDACIÓ AMPANS,AMPANS (SORTIDA DEPURADORA),199,396199.5157,4614203.997,0.0,0.0,0.0,0.0
