activitat_,nom_abocam,Punt2
"PALLARÈS ICART, EDUARD",EDUARD PALLARÈS ICARD (SORTIDA DEPURADORA),251
"SALA RIBALTA, XAVIER",XAVIER SALA RIBALTA - Torrent de Cantagalls,250
"E.ON GENERACION, SL (CENTRAL TERM. DE CERCS)",ENEL VIESGO GENERACIÓN TÉRMICA SL (REFRIGERACIÓ),276
"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 1: aigües de mina + dutxes pis 3),277
"FIBRAS HILADAS ESTEVA, SA","FIBRAS HILADAS ESTEVA, SA (SORTIDA DEPURADORA)",270
"A. RAYMOND TECNIACERO, SAU",021993000004 - AB 1,243
"INTERNITCO COMERÇ, SL","INTERNITCO COMERÇ, SL BL20030357 (SORTIDA RESIDUALS SANITÀRIES)",584
"CEPSA ESTACIONES DE SERVICIO, SA   -  E.S. CADI","CEPSA ESTACIONES DE SERVICIO, SA  E.S. CADI (LLERA)",279
"RESTAURANT URBISOL, SL","RIERA DE MALRUBI (RESTAURANT URBISOL, SL)",250
CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, PLUVIALS SEMINETES, FOCUS 3",272
"ESTACIÓ DE SERVEI BALLUS, SA","ESTACIÓ DE SERVEI OLVAN (BALLÚS, SA) SORTIDA TRACTAMENT",271
"VENI ESPORT, SL",AA2003000516-Riera de la Llena,261
SIRAP PACKAGING IBERICA SLU,RIERA DE LA RIBA (SIRAP PACKAGING IBERICA SLU - OLVAN),269
AIGÜES DE MANRESA - BARRI DE VILADORDIS,"AIGÜES DE MANRESA, SA - BARRI DE VILADORDIS (TORRENT INNOMINAT)",241
"CATALANA DE EMBUTIDOS, SA","Abocament CATALANA DE EMBUTIDOS, SA - torrent Lladó",263
INCASOL,AJUNTAMENT DE SALLENT - POLÍGON INDUSTRIAL PLANS DE LA SALA (SORTIDA DEPURADORA),245
"COLLELL CARRILLO, LÍDIA","COLLELL CARRILLO, LÍDIA",258
"EMBUTIDOS SOLÀ, SA","EMBOTITS PERAFITA, S.L.",258
"CAMPING FONT FREDA, SA",CAMPING FONT FREDA SA (Sortida depuradora),603
"TEXPACK ENGINEERING, SA","TEXPACK ENGINEERING, SA (SORTIDA DEPURADORA)",257
"BALVITEX, SA",BALVITEX SA (NORD) (SORTIDA DEPURADORA),267
"CAMPING PUIGCERCOS, SL","ABOC CAMPING PUIGCERCÓS, S.L (RIERA DE MERLÈS)",589
"MONTAÑA DOU, LLUÍS","MONTAÑA DOU, LLUÍS (MAS LA TRIA): TORRENT E LA TRIA",256
"CAL JOANET, SCP-CAMPING MIRADOR AL PEDRAFORCA",CAMPING MIRADOR AL PEDRAFORCA -MONTSERRAT VILA MIRET- (sortida depuradora),277
"DENSO BARCELONA, SA","DENSO BARCELONA, S.A._Torrent Bo",242
"CONILL SEGARRA, JAUME",JAUME CONILL SEGARRA,264
"CAPATEST, SL","CAPATEST, SL: ABOCAMENT A LLERA; TORRENT BO",242
"PEDRACAMP, SL","PEDRACAMP, S.L. (SORTIDA DEPURACIÓ)",588
"HERMANOS PRATGINESTOS, SA","Abocament HERMANOS PRATGINESTOS,S.A.-torrent de les Freixes",242
"GRANJA ESCOLA EL XALOC, SL","GRANJA ESCOLA EL XALOC, SL: ABOCAMENT A LA RIERA DE CALDERS",246
"RESTAURANT LA MOLA, SL","RESTAURANT LA MOLA, S.L   (Sortida depuradora)",260
"GRANJA PORTA, SCP",GRANJA PORTA SCP (SORTIDA DEPURADORA),242
"RODELLAS-SORTS, S.L","RODELLAS-SORTS, S.L - Rec de la Tria",256
"CAMPING LLUÇANES, S.A.",CAMPING LLUÇANÉS (ABOC TORRENT DE BARTRONS),256
"HIDRODATA, SA - CH BAGA","HIDRODATA, SA  C.H. PENDIS   (SORTIDA DEPURADORA)",280
"VILADASES, SL - CAMPING GIRONELLA",CÀMPING GIRONELLA: RIERA DE CLARÀ,586
BASTOS & TORVAL S.L.,BASTOS & TORVAL  (SORTIDA TRACTAMENT),245
"SAULEDA, SA","021996000280-SAULEDA,SA",254
"BERGUEDÀ NÀUTIC, S.L","BERGUEDÀ NÀUTIC, S.L (sortida depuradora) - Embassament La Baells",274
"RESTAURANT VISTA PIRINEU, SCP","RESTAURANT VISTA PIRINEU, SCP (llera)",249
"DISCBAGES, SL","DISCBAGES, SL (SORTIDA FOSSA + FILTRE BIOLÒGIC)",242
"SUPERMERCADOS LLOBET, SA","Abocament FUNDICION PUJOL MUNTALA, SA",242
"GESTORA DE RUNES DE MUNTANYA, SL",GESTORA DE RUNES DE MUNTANYA (AIGÜES DE DRENATGE),276
AJUNTAMENT DE BERGA,AJUNTAMENT DE BERGA -BAR RESTAURANT PARATGE FONT NEGRA (SORTIDA DEPURADORA),273
"PALAU I FILLS, SA","RIERA DE CUFORB (PALAU I FILLS, SA)",270
"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 3: sanitàries oficines),588
"CLAUDI ROCA, S.L.","Abocament CLAUDI ROCA, SL - riera de la Riba",269
EDAR LA NOU DE BERGUEDÀ,EDAR LA NOU DE BERGUEDÀ,276
"PRECUITS, SL",PRECUITS SL_POLÍGON INDUSTRIAL LA SERRETA (SORTIDA DEPURADORA),242
"FUNDICION MARTINEZ, S.A.","abocament FUNDICIONES MARTINEZ,SA - torrent del guix",241
"VALLEJO FIDALGO, E.MIQUEL",E.MIQUEL VALLEJO FIDALGO (SORTIDA DEPURADORA),248
"SISTEMAS DE EMBALAJE SORSA, SA",SISTEMA DE EMBALAJE SORSA (SORTIDA DEPURADORA),585
"FUNDICION PUJOL MUNTALA, SA","Abocament FUNDICION PUJOL MUNTALA, SA",242
"FERNANDEZ MARCENARO, FERNANDO",Abocament FERNANDO FERNANDEZ MARCENARO - riera de metge,603
CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, ABOCAMENT SANITÀRIES. FOCUS 1",272
"SANFEPLAST,SA",SANFEPLAST-Riera de Relat,255
"IBERPOTASH, SA  - MINA SALLENT",IBERPOTASH (SORTIDA SANITÀRIES),262
"E.ON GENERACION, SL (CENTRAL TERM. DE CERCS)",ENEL VIESGO GENERACIÓN TÉRMICA SL (TOTAL: REFRIGERACIÓ +INDUSTRIALS),276
"FARMABAN, SA","RIU d'OR FARMABAN,SA 021999005061",242
"IBERICAR CADI, SA","Abocament FUNDICION PUJOL MUNTALA, SA",242
"REIXAGÓ AGRÍCOLA I RAMADERA, SL","REIXAGÓ AGRÍCOLA I RAMADERA, SL (SORTIDA SANITÀRIES I NETEGES DE SALES DE MUNYIR VAQUES)",259
"AGROPECUARIA CATALANA, SCCL","AGROPECUARIA CATALANA, SCCL (SORTIDA DEPURADORA)",242
"PEIXOS POVILL, C.B.","PEIXOS POVILL, CB",276
AJUNTAMENT DE PUIG-REIG (POL. IND.CAN VIDAL II),EDAR POL.INDL.CAL VIDAL II (SORTIDA DEPURADORA),266
FUNDACIÓ AMPANS,ABOCAMENT AMPANS: ABOCAMENT A UN AFLUENT DEL RIU D'OR.,243
"LA MOIANESA, SL","LA MOIANESA, SL (SORTIDA DEPURADORA)",248
"EVOFEED, SL","EVOFEED,SL (SORTIDA TRACTAMENT)",259
"MOLISPELT, SL - CAMPING L'ESPELT","RIU TORT (MOLISPELT, SL)",591
AJUNTAMENT DE CALDERS - NUCLI CALDERS,AJUNTAMENT DE CALDERS - EDAR NUCLI CALDERS,249
CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, SANITÀRIES, FOCUS 2",272
"AGUSTIN BARRAL, SA",AGUSTIN BARRAL SA - Riu Llobregat,282
"ENDESA GENERACION, SA -CH LA BAELLS","ENDESA GENERACION, S.A CH. LA BAELLS (SORTIDA SISTEMA DE PRETRACTAMENT)",274
"GONZÁLEZ GARCÍA, MARIA CARMEN","REST&HOST EXPERIENCE, SL (SORTIDA DEPURADORA)",253
